SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
033250,체시스,3325
033270,한국유나이티드제약,3327
033530,에스제이지세종,3353
033780,케이티앤지,3378
033920,무학,3392
034020,두산에너빌리티,4125
034120,에스비에스,4344
034220,LG디스플레이,3422
034230,파라다이스,3423
034300,신세계건설,3430
034310,NICE홀딩스,7161
034590,인천도시가스,3459
034730,SK,4350
034830,한국토지신탁,4123
035000,에이치에스애드,4341
035150,백산,3515
035250,강원랜드,3525
035420,네이버,3542
035510,신세계아이앤씨,3551
035720,카카오,3572
047040,대우건설,6959
047050,포스코인터내셔널,6958
047400,유니온머티리얼,11090
047810,한국항공우주산업,7016
049770,동원에프앤비,7178
049800,우진플라임,7545
051600,한전KPS,8472
051630,진양화학,7347
051900,LG생활건강,7404
051905,LG생활건강1우,7404
051910,LG화학,7405
051915,LG화학1우,7405
052690,한국전력기술,11132
053210,케이티스카이라이프,7519
053690,한미글로벌건축사사무소,11141
055490,테이팩스,5521
055550,신한금융지주회사,4700
057050,현대홈쇼핑,4531
058430,포스코스틸리온,4589
058650,세아홀딩스,4704
058730,다스코,8038
058850,케이티씨에스,4720
058860,케이티아이에스,4721
060980,에이치엘홀딩스,4985
066570,LG전자,8096
066575,LG전자1우,8096
066970,엘앤에프,8138
067830,세이브존아이앤씨,8215
063160,종근당바이오,7761
064960,에스앤티모티브,7847
042660,한화오션,6562
042670,에이치디현대인프라코어,6402
042700,한미반도체,6069
044380,주연테크,8392
044450,케이에스에스해운,8089
044820,코스맥스비티아이,7088
095720,웅진씽크빅,12029
096760,제이더블유홀딩스,12163
096770,SK이노베이션,12162
096775,SK이노베이션1우,12162
097230,에이치제이중공업,12217
097520,엠씨넥스,12240
097950,씨제이제일제당,12320
097955,씨제이제일제당1우,12320
100090,에스케이오션플랜트,12545
100220,비상교육,12725
100250,진양홀딩스,12572
100840,에스앤티에너지,12667
101140,인바이오젠,12722
101530,해태제과식품,12770
102260,동성케미컬,12835
102280,쌍방울,12842
068270,셀트리온,8256
068290,삼성출판사,8261
069260,티케이지휴켐스,8391
069460,대호에이엘,8411
069620,대웅제약,8437
069640,한세엠케이,8557
069730,디에스알제강,8450
069960,현대백화점,8484
070960,모나용평,8595
071050,한국투자금융지주,8607
071055,한국투자금융지주1우,8607
071090,하이스틸,8621
071320,한국지역난방공사,11249
071840,롯데하이마트,4138
071950,코아스,9422
071970,STX중공업,8630
