SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
058215,실크로드시앤티1우,4572
058220,아리온테크놀로지,4573
058370,비엔씨컴퍼니,4890
058380,한주피엠씨,10129
058420,제이웨이,4679
058440,풍남반도체테크,4682
058460,인따르시아,4588
058480,해원에스티,4686
058530,파나케이아,4689
058550,네오리소스,4929
058590,멀티소프트,4697
058690,퓨쳐인포넷,4750
058710,한국휴먼컴퓨터,4706
058840,이소프팅,4719
058870,이지통신,4716
058900,골드카운티,8028
059040,한국인프라,4757
059420,메가메디칼,4725
059460,조이온,4845
059520,위너스기술,4828
059580,오투런,4840
059960,에너테크인터내셔널,4747
060000,국민은행,7771
060140,뉴크론,4822
060190,에이스전자기술,11152
060195,에이스전자기술1우,11152
060300,레드로버,4870
060360,코리아닷컴커뮤니케이션,4873
060470,피에스엔소프트,4884
060600,메가텍,4899
060620,동일씨앤이,4902
060625,동일씨앤이1우,4902
060640,에코코리아,4903
060650,위넷,4904
060750,제이콤,4911
060770,에펙스디지탈,4915
060780,씨피에스테크놀러지,4916
060830,동양잉크,4928
060930,새롬방송,4938
060950,비아이피,4941
060970,동아닷컴,4942
061020,상진미크론,8117
061050,지앤디윈텍,4952
061140,엘앤피아너스,4963
065740,비아이지,7978
065790,팬웨스트,8103
065810,유씨아이콜스,8057
065820,테크노비전,8058
065830,테노바엔비타,8086
065850,삼영유니텍,8064
065870,테라닉스,9987
065900,현대카드,4282
065930,제니엘,8033
065955,웰크론1우,8031
066020,가온셀,8035
066040,화인에스아이,8039
066060,휴먼텍코리아,8044
066070,이스텍,8043
066110,한프,8040
066120,지원콘텐츠,8144
066150,악사손해보험,8052
066210,엠피에스,9499
066220,씨에이에이,8104
066230,한독옵텍,8424
066250,카티정보,8153
066270,에스케이커뮤니케이션즈,8070
066300,샤인시스템,8066
066315,큐에스아이1우,11192
066340,케이에스리소스,8073
066350,티에스엠텍,8210
066470,리폼시스템,8082
066500,엠씨글로벌,8113
066510,성주,9483
066600,무인전자룩스,8102
066640,도원닷컴,8109
066680,종로아카데미,9580
066690,보광티에스,8110
066710,세원테크,8115
066740,모비원테크놀러지,8119
066800,지앤비교육,8122
066810,국민신용정보,8123
066820,스페이스링크,8237
066840,씨엔피정보기술,8170
066880,모드테크,8131
066890,지에스텔레텍,8264
066920,케이씨이아이,8133
066930,에스디,8308
066940,금영,8961
067030,에이치디현대삼호,8136
067130,클루넷,8048
067210,엔젤로또,8154
067215,엔젤로또1우,8154
067220,대경바스컴,8151
067250,케이조선,4068
067270,엑스컴,8166
067350,프리모젠,8174
067360,맥시우스,8175
067420,한국아이오테크,8705
067490,성원아이북랜드,8189
067540,오스테오시스,8386
067550,젬스메디컬,8417
067580,케이비에프,8393
067590,에이알디홀딩스,8186
067595,에이알디홀딩스1우,8186
067610,엠케이에스,8191
067637,에이치엘비생명과학2우,11204
067650,피제이주얼리,8348
067670,씨맥스커뮤니케이션즈,8199
067710,태성엠아이에스,8366
067720,경도시스템,8303
067740,올링스미디어,8330
067850,바이나믹,9999
067930,피닉스코리아,8290
068060,케이씨더블류,8239
068090,오케이메디젠,8236
068140,뱅크이십오,8246
068150,케이엔씨글로벌,8247
068230,플레넷,8251
061200,디엔에스,4955
061220,사이버씨브이에스,4956
061320,도레미미디어,4606
061420,에이시에스,7655
061490,아이넷필,6186
061570,이토마토투자자문,7748
061580,에이원정보기술,7749
061600,디자인스톰,7751
061650,삼신이노텍,8059
061710,건아정보기술,4991
062260,아이하트,7689
062460,엘리아테크,7738
062800,키스컴,6303
062865,티엘아이1우,7633
062867,티엘아이2우,7633
063100,제로원,7757
063110,중앙축산사료,7759
063180,유니텍,7763
063190,그라스텍,7766
063200,비투비엠앤에이,7765
063290,에스티커뮤니케이션,7773
063300,한국학술정보,7772
063310,루트,8376
063500,신한포토닉스,7795
063505,신한포토닉스1우,7795
063540,이삭콘텍,7797
063590,디엠디,7799
063660,써니텍,7807
063880,네비콤,7834
063900,블룸테크놀로지,7836
063930,클럽인터넷,7839
064060,사이노젠,7968
064080,에어텍정보통신,7855
064180,이지디지털,7825
064295,인텍플러스1우,7862
064297,인텍플러스2우,7862
064299,인텍플러스3우,7862
064400,엘지씨엔에스,4131
064460,슈어넷,7887
064470,진켐,7884
064490,한국교육미디어,7885
064510,유네코,7899
064540,현대엔지니어링,11170
064600,에프아이디,7912
064730,엔지씨코리아,7916
064740,인지에이원,7913
064750,다솔테크놀로지,7914
064860,가치네트,7927
064930,시그넷시스템,7934
064935,시그넷시스템1우,7934
064965,에스앤티모티브1우,7847
064967,에스앤티모티브2우,7847
064980,한국남동발전,7782
065050,조인트리,7943
065120,인스밸리,7953
065160,라임,7964
065180,해피드림,8014
065210,두리비젼,7959
065270,플렉스컴,7966
065275,플렉스컴1우,7966
065310,더스텔라,7972
065330,고산,8037
065340,쓰리디월드,7976
065360,한세전자,8252
065410,지엔텍홀딩스,7991
065460,코리아베이스,7983
065470,컴온투웬티원,7982
065550,하이호휠,8003
065560,녹원씨엔아이,8002
065580,삼건베리클,8006
065610,폴리플러스,8008
065620,제낙스,8007
065630,대보정보통신,11181
041950,코프마,6528
041980,비비앤씨,6523
042090,지오스테크널러지,6609
042140,큐캐피탈홀딩스,6532
042160,애니셀,6534
042200,다코스E&I,6540
042220,코리아퍼스텍,6808
042260,쎄라스택,6536
042320,케이팝홀딩스그룹,6548
042330,패션플러스,6549
042340,대국,6584
042425,네오위즈홀딩스1우,6733
042490,쉬프트정보통신,6701
042690,케이에스넷,7414
042695,케이에스넷1우,7414
042720,키컴,6587
042820,어울림네트웍스,6576
042870,에코페트로시스템,6592
042910,위즈네트,6595
042930,필리아텔레콤,6597
043000,언어공학연구소,6601
043020,씨씨알,4951
043030,서림비앤에스,6606
043170,에듀테크,6626
043190,세기브라콤,6613
043210,림스텍,6615
043225,티에스넥스젠1우,6616
043240,엘엔아이소프트,6618
043330,대성메디테크,7385
043420,에코이에스,6638
043460,마이다스텍,6640
043540,인터하우스,6654
043580,에임하이글로벌,6651
043630,지앤알,6772
043680,스톰이앤에프,6700
043720,안국바이오진단,6666
043725,안국바이오진단1우,6666
043740,월드모닝,6668
043810,에피온,6673
043830,필켐,6671
043870,씨콥스,7200
043880,에스케이텔링크,8323
043930,마이크로통신,6684
043940,디지털퓨전,6683
043950,에이다인포텍,6682
043960,낙스넷,6681
043990,넷피아,6678
044020,도우넷컴,6685
044050,프라임테크,6694
044100,펜타미디어,6698
044130,리딩투자증권,6610
044250,케이아이테크놀러지,6709
044310,지오피아,6715
044320,매경닷컴,6720
044370,조이토토,6814
044430,코레이트자산운용,6731
044435,코레이트자산운용1우,6731
044437,코레이트자산운용2우,6731
044440,솔빛미디어,6899
044520,한국씨포,6739
044560,앤써러,6737
044590,제일테크,6747
044730,이투비,6751
044770,에이엠에스,6761
044775,에이엠에스1우,6761
