SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
216050,인크로스,24832
217730,강스템바이오텍,25007
218150,미래생명자원,25038
196700,웹스,25050
211270,에이피위성,25031
218410,알에프에이치아이씨,25051
208340,파멥신,25025
219550,디와이디,25178
217190,제너셈,25201
056090,이노시스,4535
219130,타이거일렉,25200
219750,한국비티비,25199
220180,핸디소프트,25241
220260,켐트로스,25246
220100,퓨쳐켐,25230
175140,휴먼테크놀로지,20688
222080,씨아이에스,25428
221800,유투바이오,25442
222420,쎄노텍,25449
222810,세토피아,25502
222980,한국맥널티,25528
223250,드림씨아이에스,25524
214870,뉴지랩파마,25678
221840,하이즈항공,25683
058110,멕아이씨에스,4553
214370,케어젠,25597
092190,서울바이오시스,14871
225220,제놀루션,25715
190510,나무가,22277
222800,심텍,25508
175250,아이큐어,20720
225590,패션플랫폼,25753
225570,넥슨게임즈,25743
225430,케이엠제약,25760
224110,에이텍모빌리티,25659
107600,새빗켐,21061
217820,원익피앤이,25819
222040,코스맥스엔비티,25799
226330,신테카바이오,25828
226360,케이에이치건설,25832
226340,본느,25834
226400,오스테오닉,25833
226440,한송네오텍,25843
133750,메가엠디,25838
221980,케이디켐,25839
225190,엘케이삼양,25874
059270,해성에어로보틱스,4805
